CODIGO|DESCRIPCION|COD_CIE9
1|Absceso|682.9
2|Adenopatia|785.6
3|Afasia|784.3
4|Afonía|784.41
5|Aftas orales|528.2
6|Agitación|307.9
7|Alteraciones analisis de sangre|790.99
8|Alucinación no visual|780.1
9|Alucinacion visual|386.16
10|Anorexia|783.0
11|Ansiedad|300.00
12|Ardores|787.1
13|Artralgia|719.40
14|Ascitis|789.5
15|Astenia|780.79
16|Bulimia|307.51
17|Bulto en abdomen|789.3
18|Bulto en cuello|784.2
19|Caquexia|799.4
20|Causticación ojo|940.9
21|Cefalea|784.0
22|Cervicalgia|723.1
23|Cianosis|782.5
24|Colocación sonda nasogástrica|97.01
25|Coma|780.01
26|Congestión nasal|478.1
27|Contractura muscular|728.85
28|Convulsión|780.3
29|Crujido rodilla|719.66
30|Cuerpo extraño árbol respiratorio (aspirado)|934.9
31|Cuerpo extraño faringe|933.0
32|Cuerpo extraño nariz|932
33|Cuerpo extraño oido|931
34|Cuerpo extraño ojo|930.9
35|Cuerpo extraño piel|910.6
36|Cuerpo extraño recto|937
37|Cuerpo extraño tubo digestivo (deglutido)|938
38|Cuerpo extraño vagina|939.2
39|Debilidad|799.3
40|Decaimiento|799.3
41|Delirio|780.09
42|Depresión|311
43|Diarrea|787.91
44|Diplopia|368.2
45|Disartria|784.5
46|Disfagia|787.2
47|Disfonía|784.49
48|Disminución visión|369.9
49|Disnea|786.0
50|Distensión abdominal|787.3
51|Disuria|788.1
52|Dolor abdominal generalizado|789.07
53|Dolor abdominal no especificado|789.00
54|Dolor abdominal, epigastrio|789.06
55|Dolor abdominal, FID|789.03
56|Dolor abdominal, FII|789.04
57|Dolor abdominal, HD|789.01
58|Dolor abdominal, HI|789.02
59|Dolor abdominal, hipogastrio|789.09
60|Dolor abdominal, mesogastrio|789.05
61|Dolor ano|569.42
62|Dolor brazo|729.5
63|Dolor cadera|719.45
64|Dolor codo|719.42
65|Dolor costado|786.50
66|Dolor cuello|723.1
67|Dolor dedo|729.5
68|Dolor espalda|724.5
69|Dolor faringeo|478.29
70|Dolor fosa renal|788.0
71|Dolor generalizado|780.9
72|Dolor hombro|719.41
73|Dolor mama|611.71
74|Dolor mandíbula|526.9
75|Dolor mano|729.5
76|Dolor muela|525.9
77|Dolor muñeca|719.43
78|Dolor oido|388.70
79|Dolor pene|
80|Dolor ojo|379.91
81|Dolor pie|729.5
82|Dolor pierna|729.5
83|Dolor precordial|786.51
84|Dolor retroesternal|786.51
