COD_PROC_URG|CPCU_CENTRO_CODIGO|CPCU_ACTIVO
00|002083|0
00.0|002083|0
00.01|002083|0
00.02|002083|0
00.03|002083|0
00.09|002083|0
00.1|002083|0
00.10|002083|0
00.11|002083|0
00.12|002083|0
00.13|002083|0
003.31|002083|0
003.91|002083|1
00.5|002083|0
01|002083|0
01.0|002083|0
01.01|002083|0
01.02|002083|0
01.09|002083|0
01.1|002083|0
01.11|002083|0
01.12|002083|0
01.13|002083|0
01.14|002083|0
01.15|002083|0
01.18|002083|0
01.19|002083|0
01.2|002083|0
01.21|002083|0
01.22|002083|0
01.23|002083|0
01.24|002083|0
01.25|002083|0
01.3|002083|0
01.31|002083|0
01.32|002083|0
01.39|002083|0
01.4|002083|0
01.41|002083|0
01.42|002083|0
01.5|002083|0
01.51|002083|0
01.52|002083|0
01.53|002083|0
01.59|002083|0
01.6|002083|0
02|002083|0
02.0|002083|0
02.01|002083|0
02.02|002083|0
02.03|002083|0
02.04|002083|0
02.05|002083|0
02.06|002083|0
02.07|002083|0
02.1|002083|0
021.00|002083|0
021.01|002083|1
021.02|002083|1
021.03|002083|0
02.11|002083|0
02.12|002083|0
02.13|002083|0
02.14|002083|0
021.71|002083|0
02.2|002083|0
02.3|002083|0
02.31|002083|0
02.32|002083|0
02.33|002083|0
02.34|002083|0
02.35|002083|0
02.39|002083|0
02.4|002083|0
02.41|002083|0
02.42|002083|0
02.43|002083|0
025.51|002083|0
027.51|002083|0
02.9|002083|0
02.91|002083|0
02.92|002083|0
02.93|002083|0
02.94|002083|0
02.95|002083|0
02.96|002083|0
02.99|002083|0
03|002083|0
03.0|002083|0
03.01|002083|0
03.02|002083|0
03.09|002083|0
03.1|002083|0
031.10|002083|0
03.2|002083|0
03.21|002083|0
03.29|002083|0
03.3|002083|0
03.31|002083|0
03.32|002083|0
03.39|002083|0
03.4|002083|0
034.04|002083|0
034.09|002083|0
03.5|002083|0
03.51|002083|0
03.52|002083|0
03.53|002083|0
03.59|002083|0
03.6|002083|0
036.04|002083|1
03.7|002083|0
03.71|002083|0
03.72|002083|0
03.79|002083|0
03.8|002083|0
038.80|002083|0
038.91|002083|0
038.94|002083|0
03.9|002083|0
03.90|002083|0
03.91|002083|0
03.92|002083|0
03.93|002083|0
03.94|002083|0
03.95|002083|0
03.96|002083|0
03.97|002083|0
03.98|002083|0
03.99|002083|0
039.96|002083|0
04|002083|0
04.0|002083|0
04.01|002083|0
04.02|002083|0
04.03|002083|0
04.04|002083|0
04.05|002083|0
04.06|002083|0
04.07|002083|0
04.1|002083|0
04.11|002083|0
04.12|002083|0
04.19|002083|0
04.2|002083|0
04.3|002083|0
04.4|002083|0
04.41|002083|0
04.42|002083|0
04.43|002083|0
04.44|002083|0
04.49|002083|0
04.5|002083|0
04.6|002083|0
04.7|002083|0
04.71|002083|0
04.72|002083|0
04.73|002083|0
04.74|002083|0
04.75|002083|0
04.76|002083|0
04.79|002083|0
04.8|002083|0
04.80|002083|0
04.81|002083|0
04.89|002083|0
04.9|002083|0
04.91|002083|0
04.92|002083|0
04.93|002083|0
04.99|002083|0
05|002083|0
05.0|002083|0
05.1|002083|0
05.11|002083|0
05.19|002083|0
05.2|002083|0
05.21|002083|0
05.22|002083|0
05.23|002083|0
05.24|002083|0
05.25|002083|0
05.29|002083|0
05.3|002083|0
05.31|002083|0
05.32|002083|0
05.39|002083|0
054.91|002083|0
057|002083|0
057.19|002083|0
05.8|002083|0
05.81|002083|0
05.89|002083|0
05.9|002083|0
06|002083|0
06.0|002083|0
06.01|002083|0
06.02|002083|0
06.09|002083|0
06.1|002083|0
06.11|002083|0
06.12|002083|0
06.13|002083|0
06.19|002083|0
06.2|002083|0
06.3|002083|0
06.31|002083|0
06.39|002083|0
06.4|002083|0
06.5|002083|0
06.50|002083|0
06.51|002083|0
06.52|002083|0
06.6|002083|0
06.7|002083|0
06.8|002083|0
06.81|002083|0
06.89|002083|0
06.9|002083|0
06.91|002083|0
06.92|002083|0
06.93|002083|0
06.94|002083|0
06.95|002083|0
06.98|002083|0
06.99|002083|0
07|002083|0
07.0|002083|0
07.00|002083|0
07.01|002083|0
07.02|002083|0
07.1|002083|0
07.11|002083|0
07.12|002083|0
07.13|002083|0
07.14|002083|0
07.15|002083|0
07.16|002083|0
07.17|002083|0
07.19|002083|0
07.2|002083|0
07.21|002083|0
07.22|002083|0
07.29|002083|0
07.3|002083|0
07.4|002083|0
07.41|002083|0
07.42|002083|0
07.43|002083|0
07.44|002083|0
07.45|002083|0
07.49|002083|0
07.5|002083|0
07.51|002083|0
07.52|002083|0
07.53|002083|0
07.54|002083|0
07.59|002083|0
07.6|002083|0
07.61|002083|0
07.62|002083|0
07.63|002083|0
07.64|002083|0
07.65|002083|0
07.68|002083|0
07.69|002083|0
076.96|002083|0
07.7|002083|0
07.71|002083|0
07.72|002083|0
07.79|002083|0
07.8|002083|0
07.80|002083|0
07.81|002083|0
07.82|002083|0
07.9|002083|0
079|002083|0
07.91|002083|0
07.92|002083|0
07.93|002083|0
07.94|002083|0
079.71|002083|0
079.72|002083|0
079.73|002083|0
079.74|002083|0
079.76|002083|0
079.77|002083|0
079.78|002083|0
07.99|002083|0
08|002083|0
08.0|002083|0
08.01|002083|0
08.02|002083|0
08.09|002083|0
08.1|002083|0
08.11|002083|0
08.19|002083|0
08.2|002083|0
08.20|002083|0
08.21|002083|0
08.22|002083|0
08.23|002083|0
08.24|002083|0
08.25|002083|0
08.3|002083|0
083.00|002083|0
08.31|002083|0
08.32|002083|0
08.33|002083|0
08.34|002083|0
08.35|002083|0
08.36|002083|0
08.37|002083|0
08.38|002083|0
08.4|002083|0
08.41|002083|0
08.42|002083|0
08.43|002083|0
08.44|002083|0
08.49|002083|0
08.5|002083|0
08.51|002083|0
08.52|002083|0
08.59|002083|0
08.6|002083|0
08.61|002083|0
08.62|002083|0
086.22|002083|0
086.23|002083|0
08.63|002083|0
08.64|002083|0
086.50|002083|0
08.69|002083|0
08.7|002083|0
08.70|002083|0
08.71|002083|0
08.72|002083|0
08.73|002083|0
08.74|002083|0
08.8|002083|0
08.81|002083|0
08.82|002083|0
08.83|002083|0
08.84|002083|0
08.85|002083|0
08.86|002083|0
08.87|002083|0
08.89|002083|0
08.9|002083|0
08.91|002083|0
08.92|002083|0
08.93|002083|0
08.99|002083|0
09|002083|0
09.0|002083|0
09.1|002083|0
09.11|002083|0
09.12|002083|0
09.19|002083|0
09.2|002083|0
09.20|002083|0
09.21|002083|0
09.22|002083|0
09.23|002083|0
09.3|002083|0
093.51|002083|1
093.52|002083|1
093.54|002083|1
093.56|002083|1
093.59|002083|0
093.91|002083|0
093.92|002083|0
093.93|002083|0
093.94|002083|1
093.96|002083|0
09.4|002083|0
09.41|002083|0
09.42|002083|0
09.43|002083|0
09.44|002083|0
09.49|002083|0
09.5|002083|0
09.51|002083|0
09.52|002083|0
09.53|002083|0
09.59|002083|0
09.6|002083|0
096.02|002083|0
096.04|002083|0
096.06|002083|0
096.07|002083|0
096.27|002083|0
096.33|002083|1
096.38|002083|0
096.39|002083|0
096.45|002083|1
096.51|002083|1
096.52|002083|0
096.53|002083|1
096.58|002083|1
09.7|002083|0
09.71|002083|0
09.72|002083|0
09.73|002083|0
09.8|002083|0
098.05|002083|0
09.81|002083|0
098.11|002083|0
098.12|002083|0
098.13|002083|0
098.17|002083|0
09.82|002083|0
098.21|002083|0
09.83|002083|0
09.9|002083|0
099.01|002083|0
099.04|002083|0
099.05|002083|1
099.06|002083|0
099.07|002083|1
09.91|002083|0
099.10|002083|0
099.11|002083|0
099.14|002083|0
099.17|002083|0
099.21|002083|0
099.26|002083|0
099.38|002083|1
099.60|002083|0
099.61|002083|0
099.62|002083|0
099.63|002083|0
099.69|002083|0
09.99|002083|0
10|002083|0
10.0|002083|0
10.1|002083|0
