COD_ESTADO|EST_NOMBRE|EST_DESCRIPCION|EST_ACTIVO
1|E.E. ATENCION|E.E. ATENCION|1
2|ATENDIDO|ATENDIDO|1
3|E.E. PLANTA|E.E. PLANTA|1
4|INTERCONSULTA ATENDIDA|INTERCONSULTA ATENDIDA|1
5|E.E. AMBULANCIA|E.E. AMBULANCIA|1
6|E.E. INTERCONSULTA|E.E. INTERCONSULTA|1
7|E.E. PRUEBAS COMPLEMENTARIAS|E.E. PRUEBAS COMPLEMENTARIAS|1
8|E.E. EVOLUCION|E.E. EVOLUCION|1
9|E.E. PROCEDIMIENTO TERAPÉUTICO|E.E. PROCEDIMIENTO TERAPÉUTICO|1
10|E.E. OBSERVACIÓN|E.E. OBSERVACIÓN|1
11|CLASIFICADO|CLASIFICADO|1
12|E.E. CLASIFICACIÓN|E.E. CLASIFICACIÓN|1
