NOM_CODIGO|NOM_DENOMINACION
84020|DEXTROSTIC
100001|OSELTAMIVIR 75 MG 10 CAPSULAS
100002|OSELTAMIVIR 75 MG/5 ML 50 ML SOLUCION ORAL
150250|DAMIRA ELEMENTAL 48,5 G, 36 SOBRES
151258|ISOSOURCE JUNIOR 250 ML, 24 BOTELLAS, SABOR CHOCOLATE
151456|GLUCOCARD MEMORY STRIPS 50 TIRAS
151934|ONE TOUCH VITA 50 TIRAS
151935|ONE TOUCH VITA 100 TIRAS
151972|CONTOUR LINK 50 TIRAS
152082|MILTINA SOJA 400 G, 1 LATA, SABOR NEUTRO
152171|ELITE 100 TIRAS
152835|ACCU-CHEK SENSOR CONFORT 50 TIRAS
153505|BREEZE2 100 TIRAS
154213|ASCENSIA EASYFILL 50 TIRAS REACTIVAS
155783|LISUBEL CHEK PLUS 50 TIRAS
156612|NUTILIS POWDER 225 G, 1 BOTE, SABOR NEUTRO
156882|FREESTYLE OPTIUM 100 TIRAS
157680|ONE TOUCH VERIO 50 TIRAS
157685|MSUD ANAMIX INFANT 400 G, 1 BOTE, SABOR NEUTRO
157693|TYR ANAMIX INFANT 400 G, 1 BOTE, SABOR NEUTRO
157701|METHIONINE FREE TYR ANAMIX INFANT 400 G, 1 BOTE, SABOR NEUTRO
157714|FREESTYLE LITE 100 TIRAS
157727|MMA PA ANAMIX INFANT 400 G, 1 BOTE, SABOR NEUTRO
157735|L-CITRULINA SHS 100 G, 1 BOTE, SABOR NEUTRO
157743|L-ARGININA SHS 100 G, 1 BOTE, SABOR NEUTRO
157834|ISOSOURCE PROTEIN 500 ML, 15 FLEXIBAG, SABOR NEUTRO
157859|ISOSOURCE STANDARD FIBRE 500 ML, 15 FLEXIBAG, SABOR NEUTRO
158921|ACCU-CHEK AVIVA 100 TIRAS
158969|BGSTAR TIRAS REACTIVAS 50 UNIDADES
159706|ONE TOUCH VERIO 100 TIRAS
161117|DIETAVITAL SOLUCION ENTERAL ENERGETICA 500 ML, 12FRASCOS, SABOR FRESA-CHOCOLATE
161299|ISOSOURCE STANDARD 500 ML, 15 FLEXIBAG, SABOR NEUTRO
161547|DIETGRIF HIPERPROTEICO 500 ML, 12 FRASCOS, SABOR VAINILLA
161621|GLUCOMEN LX SENSOR 50 TIRAS
161622|GLUCOMEN LX SENSOR 2 ENVASES DE 50 TIRAS
161960|CONTOUR NEXT 25 TIRAS
161961|CONTOUR NEXT 50 TIRAS
161962|CONTOUR NEXT 100 TIRAS
162644|GLUCOCARD G SENSOR 50 TIRAS REACTIVAS
163170|FRESUBIN ORIGINAL 500 ML, 12 BOTELLAS, SABOR NEUTRO
164517|XMTVI MAXAMAID 500 G, 1 BOTE, SABOR NEUTRO
