PRES_CODIGO|PRES_DESCRIPCION
539996|TIRAS REACTIVAS DETERMINACION GLUCEMIA, 25 UNIDADES
539997|OSELTAMIVIR
539998|TIRAS REACTIVAS DETERMINACION GLUCEMIA, 100 UNIDADES
539999|TIRAS REACTIVAS DETERMINACION GLUCEMIA, 50 UNIDADES
540000|ABSORBENTE INCONT ORINA DIA RECTANGULAR,, 20 UNIDADES, TALLA UNICA
540001|ABSORBENTE INCONT ORINA DIA RECTANGULAR,, 40 UNIDADES, TALLA UNICA
540002|ABSORBENTE INCONT ORINA DIA RECTANGULAR,, 60 UNIDADES, TALLA UNICA
540003|ABSORBENTE INCONT ORINA DIA RECTANGULAR,, 80 UNIDADES, TALLA UNICA
540004|ABSORBENTE INCONT ORINA DIAANATO , 20 UNIDADES, TALLA UNICA
540005|ABSORBENTE INCONT ORINA DIAANATO , 40 UNIDADES, TALLA UNICA
540006|ABSORBENTE INCONT ORINA DIAANATO , 60 UNIDADES, TALLA UNICA
540007|ABSORBENTE INCONT ORINA DIAANATO , 80 UNIDADES, TALLA PEQUEÑA
540009|ABSORBENTE INCONT ORINA DIAANATO , 80 UNIDADES, TALLA UNICA
540010|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 20 UNIDADES, TALLA UNICA
540013|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 80 UNIDADES, TALLA PEQUEÑA
540015|ABSORBENTE INCONT ORINA NOCHE RECTANGULAR,, 80 UNIDADES, TALLA UNICA
540016|ABSORBENTE INCONT ORINA NOCHEANATO , 20 UNIDADES, TALLA PEQUEÑA
540017|ABSORBENTE INCONT ORINA NOCHEANATO , 20 UNIDADES, TALLA MEDIANA
540018|ABSORBENTE INCONT ORINA NOCHEANATO , 20 UNIDADES, TALLA UNICA
540019|ABSORBENTE INCONT ORINA NOCHEANATO , 40 UNIDADES, TALLA PEQUEÑA
540020|ABSORBENTE INCONT ORINA NOCHEANATO , 40 UNIDADES, TALLA MEDIANA
540021|ABSORBENTE INCONT ORINA NOCHEANATO , 40 UNIDADES, TALLA UNICA
540022|ABSORBENTE INCONT ORINA NOCHEANATO , 60 UNIDADES, TALLA PEQUEÑA
540023|ABSORBENTE INCONT ORINA NOCHEANATO , 60 UNIDADES, TALLA MEDIANA
540024|ABSORBENTE INCONT ORINA NOCHEANATO , 60 UNIDADES, TALLA UNICA
540025|ABSORBENTE INCONT ORINA NOCHEANATO , 80 UNIDADES, TALLA PEQUEÑA
540026|ABSORBENTE INCONT ORINA NOCHEANATO , 80 UNIDADES, TALLA MEDIANA
540027|ABSORBENTE INCONT ORINA NOCHEANATO , 80 UNIDADES, TALLA GRANDE
540028|ABSORBENTE INCONT ORINA NOCHEANATO , 80 UNIDADES, TALLA UNICA
540029|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 20 UNIDADES, TALLA MEDIANA
540030|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 20 UNIDADES, TALLA GRANDE
540031|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 40 UNIDADES, TALLA PEQUEÑA
540032|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 40 UNIDADES, TALLA MEDIANA
540033|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 40 UNIDADES, TALLA GRANDE
540034|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 60 UNIDADES, TALLA MEDIANA
540035|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 60 UNIDADES, TALLA GRANDE
540036|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 80 UNIDADES, TALLA PEQUEÑA
540037|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 80 UNIDADES, TALLA MEDIANA
540038|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 80 UNIDADES, TALLA GRANDE
540039|ABSORBENTE INCONT ORINA SUPERNOCHE RECTANGULAR,, 80 UNIDADES, TALLA UNICA
540040|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 20 UNIDADES, TALLA MEDIANA
540041|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 20 UNIDADES, TALLA GRANDE
540042|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 20 UNIDADES, TALLA UNICA
540043|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 40 UNIDADES, TALLA MEDIANA
540044|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 40 UNIDADES, TALLA GRANDE
540045|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 40 UNIDADES, TALLA UNICA
