COD_PROC_URG|TITULO
00|PROCEDIMIENTOS E INTERVENCIONES, NCOC
00.0|ULTRASONOGRAFÍA TERAPÉUTICA
00.01|ULTRASONOGRAFÍA TERAPÉUTICA DE VASOS DE CABEZA Y CUELLO
00.02|ULTRASONOGRAFÍA TERAPÉUTICA CARDIACA
00.03|ULTRASONOGRAFÍA TERAPÉUTICA DE VASOS PERIFÉRICOS
00.09|OTRA ULTRASONOGRAFÍA TERAPÉUTICA
00.1|FÁRMACOS
00.10|IMPLANTACIÓN DE ANTINEOPLÁSICOS
00.11|INFUSIÓN DE DROTRECOGIN ALFA (ACTIVADA)
00.12|ADMINISTRACIÓN DE ÓXIDO NÍTRICO INHALADO
00.13|INYECCIÓN O INFUSIÓN DE NESIRITIDE
003.31|PUNCIÓN LUMBAR
003.91|ANESTESIA EPIDURAL
00.5|OTROS PROCEDIMIENTOS CARDIOVASCULARES
01|INCISION Y EXCISION DE CRANEO,CEREBRO Y MENINGES CEREBRALESS
01.0|PUNCION CRANEAL
01.01|PUNCION CISTERNAL
01.02|PUNCION VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTA
01.09|OTRA PUNCION CRANEAL
01.1|PROC.DIAGNOSTICOS SOBRE CRANEO, CEREBRO Y MENINGES CEREBRALE
01.11|BIOPSIA PERCUTANEA DE MENINGES CEREBRALES
01.12|BIOPSIAS DE MENINGES CEREBRALES ABIERTAS
01.13|BIOPSIA PERCUTANEA, AGUJA, DE CEREBRO CERRADA
01.14|BIOPSIAS DE CEREBRO ABIERTAs
01.15|BIOPSIA DE CRANEO
01.18|OTROS PROCEDIMIENT.DIAGNOST. SOBRE CEREBRO Y MENINGES CEREBR
01.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE EL CRANEO
01.2|CRANEOTOMIA Y CRANIECTOMIA
01.21|INCISION Y DRENAJE DE SENO CRANEAL
01.22|EXTRACCION DE NEUROESTIMULADOR INTRACRANEAL
01.23|REAPERTURA DE CRANEOTOMIA
01.24|OTRAS CRANEOTOMIAS
01.25|OTRAS CRANIECTOMIAS
01.3|INCISION DE CEREBRO Y MENINGES CEREBRALES
01.31|INCISION DE MENINGES CEREBRALES
01.32|LOBOTOMIA Y TRACTOTOMIA
01.39|OTRAS INCISIONES CEREBRALES
01.4|OPERACIONES SOBRE TALAMO Y GLOBO PALIDO
01.41|OPERACIONES SOBRE TALAMO
01.42|OPERACIONES SOBRE GLOBO PALIDO
01.5|OTRAS EXCISIONES O DESTRUCCIONES DE CEREBRO Y MENINGES
01.51|ESCISION DE LESION O TEJIDO DE MENINGES CEREBRALES
01.52|HEMISFERECTOMIA
01.53|LOBECTOMIA CEREBRAL
01.59|OTRAS ESCISIONES O DESTRUCCIONES DE LESION O TEJIDO CEREBRAL
01.6|EXCISION DE LESION CRANEAL
02|OTRAS OPERACIONES EN CRANEO,CEREBRO Y MENINGES CEREBRALES
02.0|CRANEOPLASTIA
02.01|APERTURA DE SUTURA CRANEAL
02.02|ELEVACION DE FRAGMENTOS DE FRACTURA DE CRANEO
02.03|FORMACION DE PLIEGUE DE HUESO CRANEAL
02.04|INJERTO OSEO DE CRANEO
02.05|COLOCACION DE PLACA CRANEAL
02.06|OTRAS OSTEOPLASTIAS CRANEALES
02.07|EXTRACCION DE PLACA CRANEAL
02.1|REPARACION DE MENINGES CEREBRALES
021.00|NEUMOTAPONAMIENTO NASAL
021.01|TAPONAMIENTO NASAL ANTERIOR
021.02|TAPÒNAMIENTO NASAL POSTERIOR
021.03|CAUTERIZACION EPIXTASIS
02.11|SUTURA SIMPLE DE DURAMADRE CEREBRAL
02.12|OTRAS REPARACIONES DE MENINGES CEREBRALES
02.13|LIGADURA DE VASO MENINGEO
02.14|PLEXECTOMIA COROIDEA
021.71|REDUCCIÓN CERRADA DE FRACTURA NASAL
02.2|VENTRICULOSTOMIA
02.3|DERIVACION VENTRICULAR EXTRACRANEAL
02.31|DERIVACION VENTRICULAR A ESTRUCTURAS EN CABEZA Y CUELLO
02.32|DERIVACION VENTRICULAR AL APARATO CIRCULATORIO
02.33|DERIVACION VENTRICULAR A LA CAVIDAD TORACICA
02.34|DERIVACION VENTRICULAR A LA CAVIDAD Y ORGANOS ABDOMINALES
02.35|DERIVACION VENTRICULAR AL APARATO URINARIO
02.39|OTRAS OPERACIONES PARA ESTABLECER DRENAJES DE VENTRICULO
02.4|REVISION, EXTRACCION E IRRIGACION DE DERIVACION VENTRICULAR
02.41|IRRIGACIÓS Y EXPLORACIÓN DE DERIVACIÓN VENTRICULAR
02.42|SUSTITUCION DE DERIVACION VENTRICULAR
02.43|EXTRACCION DE DERIVACION VENTRICULAR
025.51|SUTURA LACERACIÓN DE LENGUA
027.51|SUTURA DE LACERACIÓN DE LABIO
02.9|OTRAS OPERACIONES SOBRE CRANEO, CEREBRO Y MENINGES CEREBRALE
02.91|LISIS DE ADHERENCIAS CORTICALES
02.92|REPARACION CEREBRAL
02.93|IMPLANTACION DE NEUROESTIMULADOR INTRACRANEAL
02.94|COLOCACION O SUSTITUCION DE COMPAS O DE HALO CRANEAL
