DESCRIPCION|CODCIE9_1|CODCIE9_2|URGENCIA
A DESCARTAR HTA|V81.1||0
A DESCARTAR TVC RETINA|V80.2||0
A. I. T.|435.9||0
A PULTACEA|034.0||0
A. REUMATOIDE.|714.0||0
ABANDONA TRATAMIENTO INSULINA|V15.81||0
ABANDONO LACTANCIA MATERNA|V24.1||0
ABCESO|682.9||0
ABCESO ALETA NASAL|682.0||0
ABCESO ANAL|566||0
ABCESO APICAL|522.5||0
ABCESO AXILAR|682.3||0
ABCESO BRAZO|682.3||0
ABCESO CERVICAL POSTERIOR|682.1||0
ABCESO COXIGEO|685.0||0
ABCESO CUELLO|682.1||0
ABCESO CUTANEO|682.9||0
ABCESO DE PARED|682.2||0
ABCESO DE PARED POSTQUIRURGICO|998.5||0
ABCESO DEDO PIE|681.10||0
ABCESO EN AXILA|682.3||0
ABCESO EN C.A.E. OIDO IZDO.|380.11||0
ABCESO EN CARA|682.0||0
ABCESO EN CUELLO|682.1||0
ABCESO EN HOMBRO DERECHO|682.3||0
ABCESO EN MAMA IZQUIERDA|611.0||0
ABCESO EN MEJILLA IZQUIERDA|682.0||0
ABCESO EN PARTE DORSAL ALTA|682.2||0
ABCESO EN REG.SACROCOCCIGEA|682.2||0
ABCESO EN RODILLA|682.6||0
ABCESO EN RODILLA IZQUIERDA|682.6||0
ABCESO EN VULVA|616.4||0
ABCESO ESCROTO|608.4||0
ABCESO ESPALDA|682.2||0
ABCESO GLUTEO|682.5||0
ABCESO GLUTEO DCHO|682.5||0
ABCESO GLUTEO DERECHO|682.5||0
ABCESO GLUTEO IZQUIERDO|682.5||0
ABCESO HALLUX VALGUS|735.0||0
ABCESO INGLE|682.2||0
ABCESO INGUINAL|682.2||0
ABCESO INGUINAL DERECHO|682.2||0
ABCESO INGUINAL DERECHO FISTULIZADO|682.2||0
ABCESO INGUINAL IZQUIERDO|682.2||0
ABCESO INTERGLUTEO|682.5||0
ABCESO INTERMAMARIO|682.2||0
ABCESO ISQUIORECTAL|566||0
ABCESO LABIO EXTERNO IZQ.|616.4||0
ABCESO LUMBAR EN PROCESO DE CURA|682.2||0
ABCESO MAMA|611.0||0
ABCESO MAMA DERECHA|611.0||0
ABCESO MAMA IZQ|611.0||0
ABCESO MAMA IZQUIERDA|611.0||0
ABCESO MANO DERECHA|682.4||0
ABCESO MUÑECA|682.4||0
ABCESO PARED ABDOMINAL|682.2||0
ABCESO PERIANAL|566||0
ABCESO PERIANAL RECIDIVANTE|566||0
ABCESO PERIAPENDICULAR|540.1||0
ABCESO PERIUNGUEAL|681.9||0
ABCESO PIE IZQUIERDO|682.7||0
ABCESO PIERNA DERCHA|682.6||0
ABCESO REGION AXILAR|682.3||0
ABCESO REGION INGUINAL|682.2||0
ABCESO REGION INGUINAL IZQ|682.2||0
ABCESO REGION PLANTAR|682.7||0
ABCESO RETROAURICULAR|682.1||0
ABCESO RETROAURICULAR IZQ|682.1||0
ABCESO SACROCOCCIGEO INTERVENIDO|V67.0||0
ABCESO SACROCOXIGEO|682.2||0
ABCESO SEBACEO EN ESPALDA|682.2||0
ABCESO SOBRE HERIDA QUIRURGICA MUSLO|998.5||0
ABCESO SUBUNGUEAL|681.9||0
ABCESO TESTICULAR|604.90||0
ABCESO UMBILICAL|682.2||0
ABCESO VULVAR|616.4||0
ABDOMEN AGUDO|567.9||1
ABDOMEN AGUDO|789.00||0
ABDOMINALGIA|789.00||0
ABDOMINALGIA.|789.00||0
ABESTOSIS PULMONAR|501||0
ABORTO|637.90||0
ABORTO COMPLETO|637.92||0
ABORTO CONSUMADO|637.90||0
ABORTO ESPONTANEO|634.90||0
ABORTO ESPONTANEO ( 1.992 )|634.90||0
ABORTO ESPONTANEO (no intencional)|634||1
ABORTO ESPONTANEO POR 2º VEZ|634.90||0
ABORTO ESPONTANEO 8 SEMANAS|634.90||0
ABORTO ILEGAL(intencional, no incluido en los supuestos legales)|636||1
ABORTO INCOMPLETO|637.91||0
ABORTO, INDUCIDO|635.90||0
ABORTO JULIO 1999|637.90||0
ABORTO LEGAL (PELIGRO SALUD PSIQUICA)|635.90||0
ABORTO PRECOZ COMPLETO|637.92||0
ABORTO PROVOCADO|637.90||0
ABORTO TERAPEUTICO|635.90||0
ABORTO 6 SEMANAS|637.90||0
ABORTOS DE REPETICION|629.9||0
ABRASION EN ANTEBRAZOS|913.0||0
ABRASION SUPERFICIAL|919.0||0
ABSCESO|682.9||0
ABSCESO ABDOMINAL|682.2||0
ABSCESO AMIGDALINO|475||0
ABSCESO ANAL|566||0
ABSCESO ANAL.|566||0
ABSCESO ANTEBRAZO IZQ|682.3||0
ABSCESO AXILA IZQUIERDA|682.3||0
ABSCESO BUCODENTAL|523.3||0
ABSCESO CERVICAL.|682.1||0
ABSCESO COCCIGEO|685.0||0
ABSCESO CORNEAL|370.55||1
ABSCESO COXIGEO|685.0||0
ABSCESO CUELLO|682.1||0
ABSCESO CUTANEO|682.9||0
ABSCESO DE CADERA|682.6||0
ABSCESO DE CUELLO|682.1||0
ABSCESO DE PARED|682.2||0
ABSCESO DE PARED EN HERIDA QUIRURGICA|998.5||0
ABSCESO DEDO MANO|681.00||0
ABSCESO DEDO MANO DERECHA|681.00||0
ABSCESO DEL PULPEJO DEDO|681.9||0
ABSCESO DENTAL|522.5||0
ABSCESO DENTARIO|522.5||0
ABSCESO DISCRETO EN NALGA|680.2||0
ABSCESO DRENADO|682.9||0
ABSCESO DRENADO ESPONTANEAMENTE|682.9||0
ABSCESO EN ABDOMEN|682.2||0
ABSCESO EN ANO, RECTO O PERIANAL|566||1
ABSCESO EN AXILA|682.3||0
ABSCESO EN BOCA|528.3||1
ABSCESO EN CADERA, MUSLO, PIERNA, RODILLA O TOBILLO|682.6||1
ABSCESO EN CARA|682.0||0
ABSCESO EN CARA (excepto ojo y región periocular)|682.0||1
ABSCESO EN COLOSTOMIA O PERICOLOSTOMIA|682.2||1
ABSCESO EN CUELLO|682.1||0
ABSCESO EN CUELLO|682.1||1
ABSCESO EN CUERO CABELLUDO|682.8||1
ABSCESO EN DEDO|681.9||0
ABSCESO EN DEDO DE LA MANO O DEL PIE (cualquier dedo)|681||1
ABSCESO EN ESCROTO|608.4||1
ABSCESO EN ESCROTO|608.4||0
ABSCESO EN ESPALDA|682.2||0
ABSCESO EN GLANDULA DE BARTHOLIN (incluye Bartholinitis)|616.3||1
ABSCESO EN GLANDULA SALIVAL|527.3||1
ABSCESO EN GLUTEO|682.5||0
ABSCESO EN GLUTEO|682.5||1
ABSCESO EN GLUTEO.|682.5||0
ABSCESO EN GLUTEO IZQUIERDO.|682.5||0
ABSCESO EN HERIDA QUIRURGICA|998.5||1
ABSCESO EN HERIDA QUIRURGICA|998.5||0
ABSCESO EN HOMBRO, AXILA, BRAZO, CODO O ANTEBRAZO|682.3||1
ABSCESO EN LABIO MENOR IZQDO|616.4||0
ABSCESO EN LABIOS MAYORES|616.4||0
ABSCESO EN MAMA|611.0||0
ABSCESO EN MANDIBULA|526.4||1
ABSCESO EN MEDIASTINO|513.1||1
ABSCESO EN MEJILLA|682.0||0
ABSCESO EN MID|682.6||0
ABSCESO EN MUÑECA Y/O MANO (se excluyen los dedos)|682.4||1
ABSCESO EN MUSLO DERECHO|682.6||0
ABSCESO EN ORBITA|376.01||1
ABSCESO EN PABELLON AURICULAR O RETROAURICULAR|380.11||1
ABSCESO EN PARED TORACICA O ABDOMINAL|682.2||1
ABSCESO EN PAROTIDA|527.3||1
ABSCESO EN PARPADO|373.13||1
ABSCESO EN PARPADO SUPERIOR DERECHO|373.13||0
ABSCESO EN PENE|607.2||1
ABSCESO EN PIE (se excluyen los dedos)|682.7||1
ABSCESO EN PIEL|682.9||0
ABSCESO EN PIEL DE MAMA|682.9||0
ABSCESO EN PLANTA DEL PIE|682.7||0
ABSCESO EN PROSTATA|601.2||1
ABSCESO EN PULMON|513.0||1
ABSCESO EN RAIZ NASAL|682.0||0
ABSCESO EN RAIZ NASAL IZQUIERDA|682.0||0
ABSCESO EN REGION SACRO-COXIGEA|682.2||0
ABSCESO EN RIÑON Y/O PERIRRENAL|590.2||1
ABSCESO EN RODILLA|682.6||0
ABSCESO EN TESTICULO|604.0||1
ABSCESO EN ZONA DE IMPLANTACION DE MARCAPASOS|996.6||1
ABSCESO EN ZONA GENITAL|616.4||0
ABSCESO EN 1º DEDO MANO DERECHA|681.00||0
